"PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","P1","P2","P3_1","P3_2","P3_3","P3_4","P3_5","P3_6","P3_7","P3_8","P3_9","P3_10","P3_11","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","P4_9","P4_10","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","TIPO","FAC_MOD"
"1021","2","11A205","15","40241","3","1","0","03",8,8,9,9,8,6,9,9,10,10,4,10,7,5,5,4,6,5,5,5,5,3,4,8,7,8,8,9,5,4,9,8,5,8,10,1,34440
"1021","2","11A205","15","40241","1","1","0","02",5,8,7,5,10,6,7,6,9,0,8,5,5,3,4,0,0,0,7,0,5,6,7,5,5,6,7,5,6,0,0,4,5,5,5,1,34440
"1021","2","11A205","15","40241","2","1","0","01",8,6,9,9,9,7,9,9,9,9,9,9,9,4,6,5,4,5,2,4,5,6,5,6,6,6,8,8,8,2,8,8,8,5,5,1,27552
"1021","2","11A205","15","40241","4","1","0","01",8,9,10,10,8,10,10,10,10,10,10,10,6,5,6,6,9,8,2,3,3,1,0,8,8,7,8,9,8,6,10,5,7,8,9,1,27552
"1021","6","13B191","15","40244","2","1","0","02",7,9,10,10,8,9,10,10,9,10,10,9,8,9,9,9,9,10,0,1,0,0,0,10,10,9,8,9,10,7,10,9,10,7,9,1,8532
"1021","6","13B191","15","40244","1","1","0","01",10,10,10,10,10,10,10,10,10,10,0,8,5,10,7,7,5,5,0,2,2,0,5,10,10,10,10,10,10,0,10,5,10,5,0,1,8532
"1021","8","11A197","15","40271","4","1","0","04",8,9,8,9,10,10,8,9,10,9,7,8,8,6,5,7,6,7,3,5,3,3,2,8,9,9,8,9,9,7,8,8,7,7,5,1,54624
"1021","8","11A197","15","40271","1","1","0","01",7,7,7,8,8,10,8,8,10,8,10,8,8,10,7,5,10,10,0,2,5,0,0,10,6,8,9,8,8,6,8,8,8,9,5,1,32774
"1021","8","11A197","15","40271","3","1","0","02",7,7,8,8,10,8,8,8,10,8,10,8,8,5,5,5,5,5,5,4,5,5,4,8,7,7,8,7,6,4,6,7,6,6,6,1,65548
"1021","5","13B192","15","40277","2","1","0","02",9,9,9,10,8,10,7,10,10,10,8,7,5,10,10,10,10,10,0,0,0,0,0,8,10,10,10,10,7,5,10,8,10,9,9,1,14668
