"R_DEF_MOD","PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","NOM","C_RES","PAR","SEX","EDA","F_NAC","ALF","I_NIV","I_ANIO","A_ESC","E_CON","C_ACT","OCU","A_ECO","POS","I_PER","ING","TIPO","ELEGIDO","FACTOR","FAC_MOD"
"00","1021","4","11A203","01","40387","2","1","0","03","-","1","3","1","25","18/07/1996","1","04","3","2","6","01","7","2","3","1","001200",1,"1",7985,24138
"00","1021","4","11A203","01","40387","2","1","0","02","-","1","2","2","46","21/09/1975","1","03","3","2","5","01","5","5","2","1","000500",1,,7985,0
"00","1021","3","11A203","01","40387","2","1","0","04","-","2",,,,,,,,,,,,,,,,1,,0,0
"00","1021","4","11A203","01","40387","1","1","0","02","-","1","3","1","03","17/03/2018",,,,,,,,,,,,1,,7985,0
"00","1021","4","11A203","01","40387","1","1","0","03","-","1","3","2","00","01/06/2021",,,,,,,,,,,,1,,7985,0
"00","1021","4","11A203","01","40387","1","1","0","01","-","1","1","2","41","04/06/1980","1","07","1","2","2","01","7","2","3","1","001200",1,"1",7985,8046
"00","1021","4","11A203","01","40387","2","1","0","01","-","1","1","1","45","28/07/1976","1","03","3","2","5","01","7","4","3","1","001800",1,,7985,0
"00","1021","4","11A203","01","40387","3","1","0","03","-","1","3","1","13","01/09/2008","1","02","5","1","6","06",,,,,,1,,7985,0
"00","1021","4","12A203","01","40419","2","1","0","03","-","1","3","1","03","17/10/2017",,,,,,,,,,,,1,,8222,0
"00","1021","4","12A203","01","40419","3","1","0","03","-","1","3","1","18","30/08/2003","1","03","3","1","6","06",,,,,,1,,8222,0
"00","1021","4","12A203","01","40419","2","1","0","02","-","1","2","2","26","26/10/1994","1","07","5","2","5","07",,,,,,1,,8222,0
"00","1021","4","12A203","01","40419","4","1","0","03","-","1","3","1","19","02/04/2002","1","03","3","2","6","04",,,,,,1,,8222,0
"00","1021","4","12A203","01","40419","4","1","0","02","-","1","2","2","47","13/10/1973","2","00",,"2","5","07",,,,,,1,"1",8222,24972
"00","1021","4","12A203","01","40419","4","1","0","01","-","1","1","1","46","12/06/1975","1","03","3","2","5","01","5","5","3","2","002000",1,,8222,0
"00","1021","4","12A203","01","40419","3","1","0","01","-","1","1","1","46","28/07/1975","1","07","3","2","1","01","5","5","3","1","002200",1,"1",8222,24972
"00","1021","4","12A203","01","40419","1","1","0","03","-","1","3","2","20","03/10/2001","1","07","4","1","6","06",,,,,,1,,8222,0
"00","1021","4","12A203","01","40419","1","1","0","02","-","1","2","2","52","13/07/1969","1","06","3","2","5","07",,,,,,1,"1",8222,24972
"00","1021","4","12A203","01","40419","1","1","0","01","-","1","1","1","55","26/03/1966","1","02","6","2","5","01","5","5","3","2","002000",1,,8222,0
"00","1021","4","12A203","01","40419","3","1","0","04","-","1","3","2","16","12/11/2004","1","03","3","1","6","06",,,,,,1,,8222,0
"00","1021","4","12A203","01","40419","3","1","0","02","-","1","2","2","42","16/12/1978","1","07","3","2","1","01","5","4","3","1","001400",1,,8222,0
"00","1021","4","12A203","01","40419","3","1","0","05","-","1","3","2","05","24/02/2016","2","01","1","1",,,,,,,,1,,8222,0
"00","1021","4","12A203","01","40419","3","1","0","06","-","1","3","2","05","24/02/2016","2","01","1","1",,,,,,,,1,,8222,0
"00","1021","4","12A203","01","40419","2","1","0","01","-","1","1","1","28","12/02/1993","1","07","5","2","5","01","1","2","3","2","005500",1,"1",8222,16648
"00","1021","3","11A204","02","40034","1","1","0","03","-","1","5","2","24","15/11/1996","1","04","3","2","1","01","4","4","2","1","002500",1,"1",7607,22994
"14","1021","3","11A204","02","40034","4","1","0","03","-","1","3","1","15","07/04/2006","1","03","2","1","6","06",,,,,,1,,7607,0
"14","1021","3","11A204","02","40034","4","1","0","05","-","1","3","2","10","24/11/2010","1","02","5","1",,,,,,,,1,,7607,0
"14","1021","3","11A204","02","40034","4","1","0","02","-","1","2","2","45","14/05/1976","1","03","3","2","1","07",,,,,,1,,7607,0
"14","1021","3","11A204","02","40034","4","1","0","04","-","1","3","2","14","13/03/2007","1","03","2","1","6","06",,,,,,1,,7607,0
"00","1021","3","11A204","02","40034","3","1","0","02","-","1","3","1","41","29/12/1979","1","03","2","2","6","01","5","5","3","1","002000",1,"1",7607,22994
"00","1021","3","11A204","02","40034","1","1","0","05","-","1","5","1","03","01/10/2018",,,,,,,,,,,,1,,7607,0
